Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\6CC510A92CC33538,0:247449,2016-12-12 11:45:02-142,2016-12-12 11:45:02-591
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:02-715,2016-12-12 11:45:02-828
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\6FF02D10233D5A75,0:3989406,2016-12-12 11:45:02-943,2016-12-12 11:45:07-080
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-12 11:45:07-181,2016-12-12 11:45:07-243
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:45:07-318,2016-12-12 11:45:07-383
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-12 11:45:07-457,2016-12-12 11:45:07-551
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:07-653,2016-12-12 11:45:07-776
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:07-918,2016-12-12 11:45:08-040
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\5F22B8124AC6204B,0:3484727,2016-12-12 11:45:08-139,2016-12-12 11:45:13-414
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:13-525,2016-12-12 11:45:13-601
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\003AF3281D43BBF3,0:3693469,2016-12-12 11:45:13-694,2016-12-12 11:45:17-465
Success : RANDOM_READ : test1\c5a5e5562b038073\738537f9a40e568b,11765:12789,2016-12-12 11:45:17-586,2016-12-12 11:45:17-689
Success : RANDOM_READ : test1\f71b43c3136efa4f\c7d9912886e5ccc7\6670af231c096f09,0:129,2016-12-12 11:45:17-782,2016-12-12 11:45:17-870
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:17-956,2016-12-12 11:45:18-030
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\15E0F6996004E028,0:3404230,2016-12-12 11:45:18-131,2016-12-12 11:45:21-706
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:21-833,2016-12-12 11:45:21-952
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\13F71DF9504827AA,0:719697,2016-12-12 11:45:22-051,2016-12-12 11:45:22-619
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:22-734,2016-12-12 11:45:22-860
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\27C33BC66CADBEB2,0:2476528,2016-12-12 11:45:22-961,2016-12-12 11:45:25-229
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:25-341,2016-12-12 11:45:25-446
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\78F6E4252530BE6B,0:1774447,2016-12-12 11:45:25-568,2016-12-12 11:45:27-503
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:45:27-628,2016-12-12 11:45:27-700
Success : RANDOM_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\41288c58009f7f6a,0:477,2016-12-12 11:45:27-776,2016-12-12 11:45:27-879
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-12 11:45:27-969,2016-12-12 11:45:28-071
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:28-164,2016-12-12 11:45:28-238
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:28-313,2016-12-12 11:45:28-430
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\795E47CA76B8BB4C,0:263630,2016-12-12 11:45:28-505,2016-12-12 11:45:29-216
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:29-337,2016-12-12 11:45:29-452
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\45709DA90F21B53F,0:3438655,2016-12-12 11:45:29-575,2016-12-12 11:45:32-914
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:33-033,2016-12-12 11:45:33-126
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\327DBA4B652F477B,0:3649593,2016-12-12 11:45:33-243,2016-12-12 11:45:36-823
Success : RANDOM_READ : test1\f71b43c3136efa4f\83404ffd78f534ff\6670af231c096f09,0:129,2016-12-12 11:45:36-948,2016-12-12 11:45:37-018
Success : SEQ_READ : test1\c5a5e5562b038073\0caa882bd1034750,22778:293114,2016-12-12 11:45:37-097,2016-12-12 11:45:37-167
